      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_avg_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2          4.347148e-01            8.436466e-01        7.761206e-01
1     o1_t1_cs_d1   o1_t2_ap_d1          9.980377e-01            9.990129e-01        9.989227e-01
2     o1_t1_cs_d1   o1_t2_ap_d2          6.304469e-02            2.324582e-01        1.861842e-01
3     o1_t1_cs_d1   o1_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
4     o1_t1_cs_d1   o1_t2_mf_d2          9.994451e-01            9.999918e-01        9.999412e-01
5     o1_t1_cs_d1   o1_t2_rp_d1          2.435965e-01            9.694733e-01        7.600105e-01
6     o1_t1_cs_d1   o1_t2_rp_d2          9.999817e-01            9.999922e-01        9.999912e-01
7     o1_t1_cs_d2   o1_t2_ap_d1          9.984903e-01            9.946971e-01        9.962751e-01
8     o1_t1_cs_d2   o1_t2_ap_d2          8.045718e-02            5.314624e-02        6.190801e-02
9     o1_t1_cs_d2   o1_t2_mf_d1          1.000000e+00            9.999999e-01        1.000000e+00
10    o1_t1_cs_d2   o1_t2_mf_d2          9.995732e-01            9.999558e-01        9.997962e-01
11    o1_t1_cs_d2   o1_t2_rp_d1          2.951665e-01            8.547726e-01        4.773996e-01
12    o1_t1_cs_d2   o1_t2_rp_d2          9.999860e-01            9.999579e-01        9.999696e-01
13    o1_t2_ap_d1   o1_t2_ap_d2          1.322807e-04            2.991461e-04        2.466776e-04
14    o1_t2_ap_d1   o1_t2_mf_d1          9.999941e-01            9.999862e-01        9.999875e-01
15    o1_t2_ap_d1   o1_t2_mf_d2          7.797979e-01            9.917727e-01        9.483066e-01
16    o1_t2_ap_d1   o1_t2_rp_d1          6.328005e-04            3.042341e-02        3.403822e-03
17    o1_t2_ap_d1   o1_t2_rp_d2          9.907950e-01            9.921589e-01        9.919287e-01
18    o1_t2_ap_d2   o1_t2_mf_d1          1.000000e+00            1.000000e+00        1.000000e+00
19    o1_t2_ap_d2   o1_t2_mf_d2          9.999626e-01            9.999975e-01        9.999866e-01
20    o1_t2_ap_d2   o1_t2_rp_d1          8.271740e-01            9.905536e-01        9.326254e-01
