      Comparison1   Comparison2  I3D_single_view_pcomp_Prediction  I3D_single_view_pcomp_max_Prediction  I3D_single_view_pcomp_MAP_Prediction  I3D_single_view_pcomp_MAP_max_Prediction  I3D_single_view_ptarget_Prediction  I3D_single_view_ptarget_max_Prediction  I3D_single_view_ptarget_MAP_Prediction  I3D_single_view_ptarget_MAP_max_Prediction  I3D_single_view_avg_Prediction  I3D_single_view_avg_max_Prediction  I3D_single_view_avg_MAP_Prediction  I3D_single_view_avg_MAP_max_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2                      6.770297e-04                          6.878138e-04                          4.409794e-11                              4.994085e-11                        3.749427e-06                            3.234445e-06                            1.435546e-06                                1.307609e-06                    1.008473e-04                        7.992695e-05                        1.432826e-06                            1.306662e-06
1     o1_t1_cs_d1   o1_t2_ap_d1                      9.998701e-02                          1.072502e-01                          1.127166e-10                              7.857009e-11                        7.094492e-05                            9.408051e-05                            3.135942e-04                                4.617316e-04                    2.182626e-03                        2.557948e-03                        2.698063e-04                            3.971337e-04
2     o1_t1_cs_d1   o1_t2_ap_d2                      8.680397e-01                          8.647321e-01                          4.811790e-07                              3.694818e-07                        2.746935e-05                            3.126899e-05                            4.729972e-04                                4.723979e-04                    8.625128e-04                        8.693352e-04                        4.729701e-04                            4.723812e-04
3     o1_t1_cs_d1   o1_t2_mf_d1                      9.999984e-01                          9.999983e-01                          5.064246e-03                              2.993739e-03                        8.590288e-01                            9.287331e-01                            9.999142e-01                                9.999452e-01                    9.948041e-01                        9.972485e-01                        9.999027e-01                            9.999360e-01
4     o1_t1_cs_d1   o1_t2_mf_d2                      7.893862e-05                          6.688503e-05                          2.255256e-12                              1.272952e-12                        8.648836e-06                            8.804693e-06                            2.053481e-05                                1.947647e-05                    6.272025e-05                        5.406864e-05                        1.341137e-05                            1.368216e-05
5     o1_t1_cs_d1   o1_t2_rp_d1                      6.954256e-03                          8.190222e-03                          1.555335e-10                              1.190063e-10                        5.127362e-03                            7.301865e-03                            4.164464e-03                                6.460194e-03                    6.876302e-03                        8.154572e-03                        1.625528e-03                            2.581460e-03
6     o1_t1_cs_d1   o1_t2_rp_d2                      9.999999e-01                          1.000000e+00                          9.882854e-01                              9.865620e-01                        9.995668e-01                            9.997557e-01                            9.999983e-01                                9.999991e-01                    9.999861e-01                        9.999912e-01                        9.999983e-01                            9.999991e-01
7     o1_t1_cs_d2   o1_t2_ap_d1                      9.939387e-01                          9.943033e-01                          7.187893e-01                              6.113883e-01                        9.498063e-01                            9.667660e-01                            9.954446e-01                                9.971773e-01                    9.559239e-01                        9.697731e-01                        9.947189e-01                            9.967219e-01
8     o1_t1_cs_d2   o1_t2_ap_d2                      9.998970e-01                          9.998923e-01                          9.999084e-01                              9.998649e-01                        8.799009e-01                            9.062597e-01                            9.969756e-01                                9.972409e-01                    8.953886e-01                        9.158619e-01                        9.969811e-01                            9.972428e-01
9     o1_t1_cs_d2   o1_t2_mf_d1                      1.000000e+00                          1.000000e+00                          1.000000e+00                              1.000000e+00                        9.999994e-01                            9.999998e-01                            1.000000e+00                                1.000000e+00                    9.999995e-01                        9.999998e-01                        1.000000e+00                            1.000000e+00
