   Target    Comparison  p_comp_target  p_target_comp          p_avg
0      o1   o1_t1_cs_d1   5.157687e-28    1.86745e-25   9.363038e-26
1      o1   o1_t1_cs_d2   6.925961e-11   3.807741e-18   3.462981e-11
2      o1   o1_t2_ap_d1   5.121272e-36   3.292979e-36   4.207126e-36
3      o1   o1_t2_ap_d2   5.742719e-08   7.314483e-06   3.685955e-06
4      o1   o1_t2_mf_d1   8.270882e-93   1.224785e-61   6.123924e-62
5      o1   o1_t2_mf_d2    1.64169e-26   1.722001e-24   8.692088e-25
6      o1   o1_t2_rp_d1   1.823178e-41   4.741775e-34   2.370888e-34
7      o1   o1_t2_rp_d2   1.059413e-73   1.702131e-82   5.297064e-74
8      o2   o2_t1_cs_d1   4.990122e-83   9.053131e-93   2.495061e-83
9      o2   o2_t1_cs_d2   2.452301e-13      0.5674973      0.2837486
10     o2   o2_t2_ap_d1   4.151085e-33     2.6692e-52   2.075542e-33
11     o2   o2_t2_ap_d2   5.683945e-49    1.22796e-15     6.1398e-16
12     o2   o2_t2_mf_d1    1.55207e-64  1.233829e-138   7.760348e-65
13     o2   o2_t2_mf_d2   8.508294e-44   2.521372e-53   4.254147e-44
14     o2   o2_t2_rp_d1   4.101566e-65   1.652642e-91   2.050783e-65
15     o2   o2_t2_rp_d2   2.121002e-60     1.3905e-56   6.953562e-57
16     o3   o3_t1_cs_d1   2.628083e-28   9.984286e-28   6.306185e-28
17     o3   o3_t1_cs_d2   1.154342e-05   2.307826e-08   5.783249e-06
18     o3   o3_t2_ap_d1   4.154762e-11   1.847227e-09   9.443873e-10
19     o3   o3_t2_ap_d2       1.000105    0.002889291      0.5014973
20     o3   o3_t2_mf_d1   8.309569e-35   1.072245e-52   4.154785e-35
21     o3   o3_t2_mf_d2   3.091102e-11   3.204869e-11   3.147985e-11
22     o3   o3_t2_rp_d1   2.838511e-73    1.35393e-43    6.76965e-44
23     o3   o3_t2_rp_d2   3.054817e-10   3.204869e-11   1.687652e-10
24     o4   o4_t1_cs_d1   3.865595e-85   6.877046e-54   3.438523e-54
25     o4   o4_t1_cs_d2    4.31532e-66   1.068304e-50   5.341519e-51
